Sno,Book Title,Author Name,Translator Name,ISBN,Genre/Categories,Pricing,,,,,,,,,,,,,,,,,,,
1,Iridescent Skin: A Multispecies Journey of White Sharks & Caged humans,Raj Sekhar Aich,,978-93-91125-53-0,"Wildlife, Adventure, Nature, Non-fiction","4,500/-",,,,,,,,,,,,,,,,,,,
2,The Forgotten Palaces of Calcutta,Joanne Taylor,,978-81-89738-78-5,"History, Heritage, Non-fiction",1250/-,,,,,,,,,,,,,,,,,,,
3,Wayel Kati: The Quest of the Seven Guardians ,Linthoi Chanu,,987-93-91125-87-5,"Fantasy, Fiction ",495/-,,,,,,,,,,,,,,,,,,,
4,Masala and Murder, Patrick Lyon,,978-93-91125-15-8,"Thriller, Fiction",450/-,,,,,,,,,,,,,,,,,,,
5,Dala's Street,Anurag Tripathi,,978-93-89136-15-9,"Financial Thriller, Fiction",350/-,,,,,,,,,,,,,,,,,,,
6,Field Marshal Sam Manekshaw: The Man and His Times,Brigadier Behram M. Panthaki (Retd) & Zenobia Panthaki,,978-93-83098-30-9,"Biography, Indian Army, Non-Fiction","1,495 /-",,,,,,,,,,,,,,,,,,,
7,Mahanadi: he Tale of a River,Anita Agnihotri,Nivedita Sen,978-93-89136-79-1,"Novel, Translations, Fiction",595/-,,,,,,,,,,,,,,,,,,,
8,Preeto & Other Stories: The Male Gaze in Urdu,Rakhshanda Jalil,,978-93-86906-64-9,"Short Stories, Fiction, Translations, Gender",450/-,,,,,,,,,,,,,,,,,,,
9, Chai: The Experience of Indian Tea,Rekha Sarin & Rajan Kapoor,,978-93-81523-91-9,"History, Food, Non-fiction","2,500/-",,,,,,,,,,,,,,,,,,,
10,Charu Majumdar: The Dreamer Rebel,Ashoke Mukhopadhyay,,978-93-91125-03-5,"Biographhy, Non-fiction",299/-,,,,,,,,,,,,,,,,,,,
11,"Soumitra Chatterjee: A Life in Cinema, Theatre, Poetry & Painting","Arjun Sengupta, Partha Mukherjee",,978-93-89136-76-0,"Biographhy, Non-fiction, Cinema","1,250/-",,,,,,,,,,,,,,,,,,,
12,Phantom Lovers: Two Novellas ,Amar Mudi,,978-81-964053-3-5,"Fiction, Romance, Historical Novel",595/-,,,,,,,,,,,,,,,,,,,
13,Entering the Maze: Queer Fiction of Krishnagopal Mallick,Niladri R. Chatterjee,,978-93-91125-90-5,"LGDTQ, Short story,Fiction, Translations",350/-,,,,,,,,,,,,,,,,,,,
14,Sita Returns: Modern India through Her Eyes,Charu Walikhanna,,978-93-86906-59-5,Non-Fiction,495/-,,,,,,,,,,,,,,,,,,,
15,A City in the Making: Aspects of Calcutta’a Early Growth,Ranabir Ray Choudhury,,978-93-85285-28-8,"Histry, non-fiction",995/-,,,,,,,,,,,,,,,,,,,
16,Bangladesh War: Report from Ground Zero,Manash Ghosh,,978-93-91125-37-0,Non-fiction,695/-,,,,,,,,,,,,,,,,,,,
17,The Butterfly Effect,Rajat Chaudhuri,,978-93-86906-52-6,"Sci-fi, cli-fi, Novel, Fiction",495/-,,,,,,,,,,,,,,,,,,,
18,Jagadish Chandra Bose: The Reluctant Physicist ,Sudipto Das,,978-93-89136-99-9,"Biographhy, Non-fiction, History",795/-,,,,,,,,,,,,,,,,,,,
19,The Aryabhata Clan,Sudipto Das,,978-93-86906-13-7,Historical Fiction,595/-,,,,,,,,,,,,,,,,,,,
20,The Bhagavad Gita: A Life-Changing Conversation,Vandana R Singh,,978-93-91125-08-0,"Self-Help, Spirituality, Non-ficiton",950/-,,,,,,,,,,,,,,,,,,,
21,The Parrot Green Saree,Nabaneeta Dev Sen ,Tutun Mukherjee,978-93-89136-03-6,"Fiction, Translation, Gender",350/-,,,,,,,,,,,,,,,,,,,
22,Spellcasters: A Novel,Rajat Chaudhuri,,978-93-91125-88-2,"Cli-fi, Thriller, Fiction",495/-,,,,,,,,,,,,,,,,,,,
23, Rereading Tagore,Amiya de,,978-93-86906-30-4,Non-Fiction,450/-,,,,,,,,,,,,,,,,,,,
24,"I, Anupam",Nabaneeta Dev Sen , Paulami Sengupta,978-93-86906-86-1,"Fiction, Novel, Gender",395/-,,,,,,,,,,,,,,,,,,,
25,Zorba the Buddha,Acharya Rajneesh (Osho),,978-93-81523-59-9,"Spirituality, Self-Help",295/-,,,,,,,,,,,,,,,,,,,
26,The Life an Times of David Hare: First Secular Educationist of India,Sarojesh Mukerjee,,978-81-964-053-8-0,"Non-Fiction, Biography",795/-,,,,,,,,,,,,,,,,,,,
27,Kabulnama,Amitabha Ray,,978-93-81523-57-5,"Non-Fiction,Travelogue",250/-,,,,,,,,,,,,,,,,,,,
28,Chitra Pothi: Illustrated Palm-Leaf Manuscripts from Orissa,J.P. Das,,978-81-89738-06-8,"Art, Cultire, Heritage, Non-fiction",950/-,,,,,,,,,,,,,,,,,,,
29,The Hungry Stones and Other Stories,Rabindranath Tagore,,978-93-86906-45-8,"Short Stories, Fiction, Translations",395/-,,,,,,,,,,,,,,,,,,,
30,Rabindranath Tagore: A Pictorial Biography,Nityapriya Ghosh,,978-81-89738-75-4,"Biographhy, Non-fiction","1,500/-",,,,,,,,,,,,,,,,,,,
31,Tracing Marco Polo’s Journey: The Silk Route,Major H.P.S. Ahluwalia,,978-81-89738-84-6,"Travel, Adventure, Non-fiction","1,995/-",,,,,,,,,,,,,,,,,,,
32,Sunderbans: The Mystic Mangrove,Biswajit Roy Chowdhury & Pradeep Vyas,,978-81-89738-13-6,"Nature, Wildlife, Non-fiction","1,295/-",,,,,,,,,,,,,,,,,,,
33, PC Sorcar: The Maharaja of Magic,PC Sorcar (Jr),,978-93-86906-09-0,"Biographhy, Non-fiction, art","1,995/-",,,,,,,,,,,,,,,,,,,
34,Bengali Culture: Over a Thousand Years,Ghulam Murshid & Sarbari Sinha,,978-93-86906-12-0,"History, non-fiction",995/-,,,,,,,,,,,,,,,,,,,
35,Historic Temples in Pakistan: A Call to Conscience,Reema Abbasi,,978-93-83098-49-1,"Heritage, Non-ficiton","1,250/-",,,,,,,,,,,,,,,,,,,
36,Gupp & Gossip: From the Hills,Ganesh Saili,,978-93-81523-40-7,"Non-fiction, Humour.Non-fiction",395/-,,,,,,,,,,,,,,,,,,,
37,Architecture of Santiniketan: Tagore’s Concept of Space,Samit Das,,978-93-81523-38-4,"Architecture, Heritage, Non-ficiton","1,495/-",,,,,,,,,,,,,,,,,,,
38,Beyond the Himalayas: Journeying Through The Silk Route,Goutam Ghose,,978-93-86906-89-2,"Travelogue, Non-fiction","1,250/-",,,,,,,,,,,,,,,,,,,
39,Indian Classical Dance: The Renaissance and Beyond,Leela Venkataraman,,978-93-83098-64-4,"Art, Cultire, Heritage, Non-fiction","2,500/-",,,,,,,,,,,,,,,,,,,
40,Jamini Roy: A painter who revisited the roots,Anuradha Ghosh,,978-93-91125-36-3,"Biographhy, Non-fiction, art",299/-,,,,,,,,,,,,,,,,,,,
41,Dagars and Dhrupad: Divine Legacy,Humra Quraishi,,978-93-83098-75-0,"Music, Heritage","1,500/-",,,,,,,,,,,,,,,,,,,
42,A Gift of Grace: The Essence of Guru Nanak’s Spirituality,Daler Aashna Deol,,978-93-89136-16-6,"Spirituality, Self-Help",595/-,,,,,,,,,,,,,,,,,,,
43,The Little Prince,Antoine Marie Jean Baptiste Roger,,978-93-89136-39-5,"Children, Fiction, Classic",250/-,,,,,,,,,,,,,,,,,,,
44,Robinson Crusoe,Daniel Defoe,,978-93-89136-48-7,"Children, Fiction, Classic",250/-,,,,,,,,,,,,,,,,,,,
45,The Wind in the Willows,Kenneth Grahame,,978-93-89136-50-0,"Children, Fiction, Classic",295/-,,,,,,,,,,,,,,,,,,,
46,A Dog’s Tale’ and ‘Jungle Stories,Premchand,Pranav Kumar Singh,978-81-964053-2-8,"Children, Fiction, Translations, classic",295/-,,,,,,,,,,,,,,,,,,,
47,White & Black: Journey to the Centre of Imperial Calcutta,Soumitra Das,,978-81-89738-43-3,"Kolkta, History, Heritage","2,495/-",,,,,,,,,,,,,,,,,,,
48,Yatra: An Unfinished Novel,Harekrishna Deka,Navamalati Neog Chakraborty,978-81-19626-40-3,"Psychological thriller, Translation, Novel, Fiction",695/-,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
